id,title,source_type,source_role,canonical_url,canonical_path,notes,status
N01,Nieleze,Primary source,Organization,https://www.nieleze.com/,/,"Primary organizational website and authoritative publication root.",active
N02,How to Navigate Structural Risk Intelligence,Primary source,Architecture,https://www.nieleze.com/start-here/how-to-navigate-structural-risk-intelligence,/start-here/how-to-navigate-structural-risk-intelligence,"Primary orientation to Nieleze's structural risk intelligence architecture.",active
N03,Applied Systems,Primary source,Applied systems,https://www.nieleze.com/applied-systems,/applied-systems,"Overview of Nieleze's applied systems work.",active
N04,Structural Risk Snapshot,Primary source,Assessment,https://www.nieleze.com/applied-systems/structural-risk-snapshot,/applied-systems/structural-risk-snapshot,"Primary source for the Structural Risk Snapshot.",active
N05,Organizational Sensing Assessment,Primary source,Assessment,https://www.nieleze.com/applied-systems/organizational-sensing-assessment,/applied-systems/organizational-sensing-assessment,"Primary source for the Organizational Sensing Assessment.",active
N06,Organizational Coherence Map,Primary source,Assessment,https://www.nieleze.com/applied-systems/organizational-coherence-map,/applied-systems/organizational-coherence-map,"Primary source for the Organizational Coherence Map.",active
N07,Signal-to-Decision Gap,Primary source,Core concept,https://www.nieleze.com/core-concepts/signal-to-decision-gap,/core-concepts/signal-to-decision-gap,"Primary source for the Signal-to-Decision Gap.",active
N08,Detecting Emerging Risk,Primary source,Organizational sensing,https://www.nieleze.com/organizational-sensing/detecting-emerging-risk,/organizational-sensing/detecting-emerging-risk,"Primary source for organizational sensing and emerging-risk detection.",active
N09,Interpretability Under Pressure,Primary source,Interpretation layer,https://www.nieleze.com/interpretation-layer/interpretability-under-pressure,/interpretation-layer/interpretability-under-pressure,"Primary source for the interpretation layer and interpretability under pressure.",active
N10,AI Oversight Failure Patterns,Primary source,Trust and oversight,https://www.nieleze.com/core-concepts/ai-oversight-failure-patterns,/core-concepts/ai-oversight-failure-patterns,"Primary source for AI oversight and trust-related analysis.",active
N11,Structural Failure Dynamics Across Complex Organizations,Primary source,Failure dynamics,https://www.nieleze.com/structural-concepts/structural-failure-dynamics-across-complex-organizations,/structural-concepts/structural-failure-dynamics-across-complex-organizations,"Primary source for structural failure dynamics.",active
N12,Escalation Threshold Drift,Primary source,Intervention architecture,https://www.nieleze.com/applied-architecture/escalation-threshold-drift,/applied-architecture/escalation-threshold-drift,"Primary source for escalation and intervention architecture.",active
N13,Adaptive Margin Architecture,Primary source,Resilience and adaptation,https://www.nieleze.com/applied-architecture/adaptive-margin-architecture,/applied-architecture/adaptive-margin-architecture,"Primary source for adaptive margin and resilience architecture.",active
N14,Cross-Sector Intelligence Hub,Primary source,Cross-sector architecture,https://www.nieleze.com/cross-sector-intelligence-hub,/cross-sector-intelligence-hub,"Primary source for the cross-sector intelligence architecture.",active
N15,Gateways,Primary source,Cross-cutting architecture,https://www.nieleze.com/start-here/how-to-navigate-structural-risk-intelligence,/start-here/how-to-navigate-structural-risk-intelligence,"Architectural orientation for gateway concepts and navigation.",active
N16,Healthcare Systems,Primary source,Signal domain,https://www.nieleze.com/healthcare-systems,/healthcare-systems,"Nieleze healthcare systems domain.",active
N17,Finance & Decision Systems,Primary source,Signal domain,https://www.nieleze.com/finance-decision-systems,/finance-decision-systems,"Nieleze finance and decision systems domain.",active
N18,Aviation & Aerospace Safety,Primary source,Signal domain,https://www.nieleze.com/aviation-aerospace-safety,/aviation-aerospace-safety,"Nieleze aviation and aerospace safety domain.",active
N19,Robotics & Automation Oversight,Primary source,Signal domain,https://www.nieleze.com/robotics-automation-oversight,/robotics-automation-oversight,"Nieleze robotics and automation oversight domain.",active
N20,Nuclear & High-Reliability Systems,Primary source,Signal domain,https://www.nieleze.com/nuclear-high-reliability-systems,/nuclear-high-reliability-systems,"Nieleze nuclear and high-reliability systems domain.",active
N21,Interpretive Bottlenecks,Primary source,Mechanism,https://www.nieleze.com/applied-architecture/interpretive-bottlenecks,/applied-architecture/interpretive-bottlenecks,"Primary source for interpretive bottlenecks.",active
N22,Signal Suppression Dynamics,Primary source,Mechanism,https://www.nieleze.com/interpretation-layer/signal-suppression-dynamics,/interpretation-layer/signal-suppression-dynamics,"Primary source for signal suppression dynamics.",active
N23,Escalation Threshold Drift,Primary source,Mechanism,https://www.nieleze.com/applied-architecture/escalation-threshold-drift,/applied-architecture/escalation-threshold-drift,"Primary source for escalation threshold drift.",active
N24,Risk Visibility Horizons,Primary source,Mechanism,https://www.nieleze.com/applied-architecture/risk-visibility-horizons,/applied-architecture/risk-visibility-horizons,"Primary source for risk visibility horizons.",active
N25,Recovery Window Dynamics,Primary source,Mechanism,https://www.nieleze.com/applied-architecture/recovery-window-dynamics,/applied-architecture/recovery-window-dynamics,"Primary source for recovery window dynamics.",active
N26,Barrier Integrity Architecture,Primary source,Mechanism,https://www.nieleze.com/applied-architecture/barrier-integrity-architecture,/applied-architecture/barrier-integrity-architecture,"Primary source for barrier integrity architecture.",active
N27,Failure Escalation Map,Primary source,Structural model,https://www.nieleze.com/structural-models/failure-escalation-map,/structural-models/failure-escalation-map,"Primary source for the Failure Escalation Map.",active
N28,Adaptive Margin Architecture,Primary source,Structural model,https://www.nieleze.com/applied-architecture/adaptive-margin-architecture,/applied-architecture/adaptive-margin-architecture,"Primary source for adaptive margin architecture.",active
N29,Governance Diagnostic Degradation,Primary source,Mechanism,https://www.nieleze.com/interpretation-layer/governance-diagnostic-degradation,/interpretation-layer/governance-diagnostic-degradation,"Primary source for governance diagnostic degradation.",active
N30,Oversight Failure Convergence 2026-2028,Primary source,Cross-sector analysis,https://www.nieleze.com/cross-sector-intelligence/oversight-failure-convergence-2026-2028,/cross-sector-intelligence/oversight-failure-convergence-2026-2028,"Primary source for oversight failure convergence.",active
N31,Human-Machine Trust Calibration Model,Primary source,Structural model,https://www.nieleze.com/structural-models/human-machine-trust-calibration-model,/structural-models/human-machine-trust-calibration-model,"Primary source for human-machine trust calibration.",active
N32,Ambiguity Signals Taxonomy,Primary source,Organizational sensing,https://www.nieleze.com/organizational-sensing/ambiguity-signals-taxonomy,/organizational-sensing/ambiguity-signals-taxonomy,"Primary source for ambiguity signals taxonomy.",active
N33,Structural Clarity Under Complexity,Primary source,Structural concept,https://www.nieleze.com/applied-architecture/structural-clarity-under-complexity,/applied-architecture/structural-clarity-under-complexity,"Primary source for structural clarity under complexity.",active
N34,Pattern Intelligence,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/pattern-intelligence,/cross-sector-intelligence/pattern-intelligence,"Primary source for pattern intelligence.",active
N35,Cross-Sector Transfer Architecture,Primary source,Methodology,https://www.nieleze.com/applied-architecture/cross-sector-transfer-architecture,/applied-architecture/cross-sector-transfer-architecture,"Primary source for cross-sector transfer methodology.",active
N36,Institutional Memory Systems,Primary source,Resilience and adaptation,https://www.nieleze.com/cross-sector-intelligence/institutional-memory-systems,/cross-sector-intelligence/institutional-memory-systems,"Primary source for institutional memory and organizational learning.",active
N37,Interpretive Failure Governance Systems,Primary source,Interpretation,https://www.nieleze.com/interpretation-layer/interpretive-failure-governance-systems,/interpretation-layer/interpretive-failure-governance-systems,"Primary source for interpretive failure governance systems.",active
N38,Governance-Reality Divergence,Primary source,Trust and oversight,https://www.nieleze.com/interpretation-layer/governance-reality-divergence,/interpretation-layer/governance-reality-divergence,"Primary source for governance-reality divergence.",active
N39,Detection vs Recognition Failure,Primary source,Mechanism,https://www.nieleze.com/organizational-sensing/detection-vs-recognition-failure,/organizational-sensing/detection-vs-recognition-failure,"Primary source distinguishing signal detection from recognition of significance.",active
N40,Decision Compression,Primary source,Mechanism,https://www.nieleze.com/interpretation-layer/decision-compression,/interpretation-layer/decision-compression,"Primary source for decision compression.",active
