id,stage,stage_order,path_position,mechanism,slug,mechanism_class,question,description,possible_degradation,consequence,input_type,output_type,primary_concept_id,secondary_concept_ids,lens_territories,structural_role,provenance,status
mechanism-001,Sensing,1,1,Signal Detection,signal-detection,detection,"What is being noticed?","The organization detects a condition, anomaly, weak signal, or emerging change that may require interpretation.","Weak signals remain unseen, filtered out, or treated as background noise.","Emerging conditions remain outside organizational awareness.","emerging-condition","detected-signal",concept-009,"concept-010","organizational-sensing|error-pathway","initiates","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-002,Sensing,1,2,Signal Suppression,signal-suppression,degradation,"What is being missed?","A detected or potentially detectable signal is weakened, absorbed, normalized, obscured, or prevented from reaching relevant decision-makers.","Signals are attenuated, normalized, fragmented, buried in routine processes, or prevented from entering the decision process.","Important conditions fail to influence subsequent recognition and decision processes.","potential-signal","suppressed-signal",concept-010,"concept-002","organizational-sensing|ambiguity|error-pathway","degrades","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-003,Recognition,2,3,Detection vs Recognition,detection-vs-recognition,recognition,"Has the significance of the signal been recognized?","The organization distinguishes between noticing the presence of a signal and recognizing its significance for action.","A signal is detected but its meaning, urgency, relevance, or implications are not understood.","Awareness exists without meaningful response.","detected-signal","recognized-condition",concept-002,"concept-009|concept-006","organizational-sensing|interpretation|ambiguity","transforms","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-004,Interpretation,3,4,Interpretive Bottleneck,interpretive-bottleneck,interpretive-constraint,"What does the signal mean?","Interpretation is constrained when ambiguity, cognitive load, fragmented information, or competing explanations restrict the organization's ability to determine significance.","Ambiguity, cognitive load, fragmentation, or competing interpretations constrain understanding.","Organizations cannot reliably determine what action is warranted.","recognized-condition","interpreted-condition",concept-006,"concept-002|concept-007","interpretation|ambiguity|organizational-sensing","constrains","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-005,Interpretation,3,5,Interpretive Fragmentation,interpretive-fragmentation,interpretive-fragmentation,"Can the organization construct a coherent interpretation?","Different organizational actors construct incomplete, inconsistent, or competing accounts of the same emerging condition.","Actors hold incomplete, conflicting, or locally coherent interpretations without sufficient integration.","Shared understanding breaks down and coordinated action becomes more difficult.","recognized-condition","fragmented-interpretation",concept-006,"concept-005|concept-007","interpretation|organizational-sensing|governance-failure","fragments","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-006,Escalation,4,6,Escalation Threshold Drift,escalation-threshold-drift,threshold-drift,"When does the signal become actionable?","The threshold at which an interpreted condition is escalated for formal attention or intervention changes as circumstances, norms, incentives, or perceived risk change.","Escalation criteria drift upward, become inconsistent, or fail to keep pace with changing conditions.","Action is delayed even as risk increases.","interpreted-condition","escalated-condition",concept-002,"concept-006|concept-008","escalation|governance-failure|error-pathway","delays","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-007,Decision,5,7,Decision Compression,decision-compression,decision-compression,"Can the organization deliberate adequately before acting?","The available decision process becomes compressed by time pressure, information overload, uncertainty, or escalating demands.","Decision processes become narrower, delayed, overly simplified, or excessively dependent on reduced signals.","Decision quality and range of available responses diminish.","escalated-condition","decision",concept-002,"concept-006|concept-011","escalation|interpretation|error-pathway","compresses","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-008,Intervention,6,8,Risk Visibility Horizon,risk-visibility-horizon,temporal-window,"How much time remains to intervene?","The organization assesses how much effective intervention time remains between recognition of a condition and loss of viable response options.","Recognition or intervention occurs after the effective intervention window has materially narrowed.","Available intervention options diminish and become more costly or constrained.","decision","intervention-window",concept-011,"concept-002","escalation|error-pathway|organizational-sensing","narrows","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-009,Intervention,6,9,Barrier Integrity,barrier-integrity,containment,"Will existing safeguards contain the condition?","Existing safeguards, controls, boundaries, or containment mechanisms are assessed for their ability to prevent local disturbances from propagating.","Protective barriers weaken, interact unexpectedly, or fail to activate.","Local disturbances can become systemic failures.","intervention-window","containment-state",concept-011,"concept-012","error-pathway|governance-failure|human-machine-oversight","contains-or-fails","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-010,Recovery,7,10,Recovery Window,recovery-window,recovery-capacity,"Can the system still recover?","The organization assesses whether sufficient structural and temporal capacity remains to contain consequences and restore viable operation.","Recognition or intervention occurs after recoverability has materially degraded.","Failure becomes harder, slower, or more costly to contain.","containment-state","recovery-state",concept-011,"concept-012","error-pathway|organizational-learning|escalation","determines","Existing signal-to-decision mechanism; Nieleze research architecture",published
mechanism-011,Learning,8,11,Organizational Learning,organizational-learning,feedback,"Does the organization convert experience into structural change?","Experience from detection, escalation, intervention, and recovery is converted into retained knowledge, altered practice, or structural adaptation.","Lessons are not retained, translated, assigned, or incorporated into future practice.","The same structural vulnerabilities can recur.","recovery-state","updated-organizational-capacity",concept-005,"concept-011|concept-003","organizational-learning|error-pathway|cross-sector-analysis","feeds-back","Existing signal-to-decision mechanism; Nieleze research architecture",published
