id,domain,domain_slug,domain_source_id,analytical_layer,mechanism_id,mechanism,mechanism_class,mapping_relation,what_it_reveals,transfer_question,concept_ids,lens_territories,source_id,source_url,status
mapping-001,Healthcare Systems,healthcare-systems,N16,Organizational Sensing,mechanism-002,Signal Suppression,degradation,direct,"What signals are being missed, weakened, or absorbed?","How does signal suppression operate when frontline conditions compete with organizational routines, information flows, ambiguity, and institutional constraints?","concept-010|concept-002","organizational-sensing|ambiguity|error-pathway",N22,https://www.nieleze.com/interpretation-layer/signal-suppression-dynamics,published
mapping-002,Healthcare Systems,healthcare-systems,N16,Organizational Sensing,mechanism-003,Detection vs Recognition,recognition,analogous,"How can signals be visible without becoming actionable knowledge?","Where does a healthcare organization detect a condition without adequately recognizing its significance for timely action?","concept-002|concept-009|concept-006","organizational-sensing|interpretation|ambiguity",N32,https://www.nieleze.com/organizational-sensing/ambiguity-signals-taxonomy,published
mapping-003,Healthcare Systems,healthcare-systems,N16,Intervention Architecture,mechanism-006,Escalation Threshold Drift,threshold-drift,direct,"Why does intervention arrive too late?","How do escalation thresholds change when pressure, uncertainty, competing priorities, or degraded visibility delay intervention?","concept-002|concept-006|concept-008","escalation|governance-failure|error-pathway",N23,https://www.nieleze.com/applied-architecture/escalation-threshold-drift,published
mapping-004,Healthcare Systems,healthcare-systems,N16,Resilience & Adaptation,mechanism-011,Organizational Learning,feedback,direct,"How does the system adapt after failure or near failure?","What mechanisms convert operational experience into retained organizational learning and structural adaptation?","concept-005|concept-011","organizational-learning|error-pathway|cross-sector-analysis",N36,https://www.nieleze.com/cross-sector-intelligence/institutional-memory-systems,published
mapping-005,Finance & Decision Systems,finance-decision-systems,N17,Organizational Sensing,mechanism-002,Signal Suppression,degradation,complementary,"How can signals become amplified or suppressed across interconnected systems?","How do interconnected information and decision structures alter the visibility, amplification, or attenuation of emerging signals?","concept-010|concept-002","organizational-sensing|ambiguity|cross-sector-analysis",N34,https://www.nieleze.com/cross-sector-intelligence/pattern-intelligence,published
mapping-006,Finance & Decision Systems,finance-decision-systems,N17,Failure Dynamics,mechanism-008,Risk Visibility Horizon,temporal-window,analogous,"How can local conditions propagate into broader systemic consequences?","How does shrinking visibility and intervention time contribute to propagation from local conditions toward systemic consequences?","concept-011|concept-002","error-pathway|escalation|cross-sector-analysis",N24,https://www.nieleze.com/applied-architecture/risk-visibility-horizons,published
mapping-007,Finance & Decision Systems,finance-decision-systems,N17,Intervention Architecture,mechanism-008,Risk Visibility Horizon,temporal-window,direct,"How early can meaningful intervention occur?","How does the available intervention horizon affect the feasibility and quality of anticipatory action?","concept-011|concept-002","escalation|error-pathway|organizational-sensing",N24,https://www.nieleze.com/applied-architecture/risk-visibility-horizons,published
mapping-008,Aviation & Aerospace Safety,aviation-aerospace-safety,N18,Trust & Oversight,mechanism-009,Barrier Integrity,containment,analogous,"How does trust affect interpretation, supervision, and action?","How do trust relationships, safeguards, and human-machine boundaries influence the integrity of operational oversight and containment?","concept-012|concept-011","human-machine-oversight|governance-failure|error-pathway",N31,https://www.nieleze.com/structural-models/human-machine-trust-calibration-model,published
mapping-009,Aviation & Aerospace Safety,aviation-aerospace-safety,N18,Organizational Sensing,mechanism-003,Detection vs Recognition,recognition,direct,"Can emerging conditions be recognized before operational failure?","How can organizations distinguish merely detecting a signal from recognizing its operational significance in time to act?","concept-002|concept-009|concept-006","organizational-sensing|interpretation|ambiguity",N08,https://www.nieleze.com/organizational-sensing/detecting-emerging-risk,published
mapping-010,Aviation & Aerospace Safety,aviation-aerospace-safety,N18,Intervention Architecture,mechanism-008,Risk Visibility Horizon,temporal-window,direct,"Can action occur while meaningful intervention remains possible?","How does the remaining intervention horizon constrain anticipatory action and operational recovery?","concept-011|concept-002","escalation|error-pathway",N24,https://www.nieleze.com/applied-architecture/risk-visibility-horizons,published
